Date,Open,High,Low,Close,Adj Close,Volume
2021-06-09,3037.5,3087.5,3000.0,3075.0,2656.665283203125,47078600
2021-06-10,3087.5,3125.0,3062.5,3100.0,2678.26416015625,43543600
2021-06-11,3137.5,3150.0,3112.5,3137.5,2710.66259765625,77757800
2021-06-14,3150.0,3150.0,3112.5,3137.5,2710.66259765625,50043400
2021-06-15,3150.0,3162.5,3112.5,3162.5,2732.26171875,107187800
2021-06-16,3162.5,3175.0,3100.0,3137.5,2710.66259765625,90051600
2021-06-17,3125.0,3137.5,3100.0,3100.0,2678.26416015625,146517200
2021-06-18,3087.5,3100.0,2975.0,3100.0,2678.26416015625,201335400
2021-06-21,3050.0,3050.0,2975.0,3012.5,2602.668212890625,138949200
2021-06-22,3037.5,3125.0,3012.5,3087.5,2667.464599609375,96680600
2021-06-23,3112.5,3112.5,3012.5,3012.5,2602.668212890625,66074200
2021-06-24,3050.0,3050.0,2987.5,2987.5,2581.06884765625,52248000
2021-06-25,3000.0,3012.5,2950.0,2950.0,2548.670654296875,61052000
2021-06-28,2912.5,2950.0,2837.5,2850.0,2462.275146484375,127109000
2021-06-29,2925.0,2925.0,2850.0,2887.5,2494.673583984375,96970800
2021-06-30,2925.0,2975.0,2900.0,2950.0,2548.670654296875,146560200
2021-07-01,2975.0,3000.0,2950.0,2987.5,2581.06884765625,87385400
2021-07-02,2987.5,3012.5,2962.5,2975.0,2570.269775390625,80422400
2021-07-05,2987.5,2987.5,2900.0,2925.0,2527.072021484375,29242400
2021-07-06,2950.0,2950.0,2875.0,2887.5,2494.673583984375,56066200
2021-07-07,2887.5,2912.5,2837.5,2875.0,2483.874267578125,96691000
2021-07-08,2925.0,2950.0,2875.0,2950.0,2548.670654296875,81459000
2021-07-09,2950.0,2950.0,2887.5,2887.5,2494.673583984375,50822400
2021-07-12,2937.5,2937.5,2887.5,2900.0,2505.472900390625,39692600
2021-07-13,2925.0,2950.0,2887.5,2887.5,2494.673583984375,65117000
2021-07-14,2900.0,2912.5,2825.0,2850.0,2462.275146484375,59225200
2021-07-15,2862.5,2950.0,2837.5,2937.5,2537.871337890625,94438400
2021-07-16,2937.5,2950.0,2912.5,2937.5,2537.871337890625,39567600
2021-07-19,2900.0,2925.0,2875.0,2875.0,2483.874267578125,31460200
2021-07-21,2912.5,2975.0,2900.0,2962.5,2559.47021484375,87100200
2021-07-22,2987.5,3050.0,2975.0,3025.0,2613.467529296875,55171400
2021-07-23,3000.0,3025.0,2975.0,2987.5,2581.06884765625,37457600
2021-07-26,2987.5,3000.0,2900.0,2900.0,2505.472900390625,77160200
2021-07-27,2925.0,2950.0,2875.0,2912.5,2516.2724609375,79279400
2021-07-28,2875.0,2950.0,2875.0,2950.0,2548.670654296875,41266000
2021-07-29,2950.0,2950.0,2875.0,2875.0,2483.874267578125,68168400
2021-07-30,2912.5,2912.5,2850.0,2850.0,2462.275146484375,92132400
2021-08-02,2887.5,2887.5,2812.5,2837.5,2451.4755859375,68571000
2021-08-03,2850.0,2900.0,2825.0,2887.5,2494.673583984375,70957400
